Start init
Done init
-2.63832	TNaive
-2.63832	TNaiveOutlined
-2.63832	TCompileTimehDim<64>
-2.63832	TCompileTime64hDimOutlined
0	TCLibChecker
-2.63832	TForceBy4
-2.63832	TForceBy4Last
-2.63832	TNaiveSSE4UnsafeOpt
-2.63832	TBy4SSE4UnsafeOpt
-2.63832	TNaiveAvxAuto
-2.63832	TNaiveAvx2Auto
-2.63832	TNaiveAvx512Auto
-2.63832	TNaiveAvx512ASM
-2.63832	TDetectOptimistic
-2.63832	TDetectPessimistic
-2.63832	TDetectJump
-2.63832	TVirtualJump
-2.63832	8.22633	TNaive
-2.63832	8.22633	TMultiDotFromSingle<TNaive>
-2.63832	8.22633	TMultiDotAll
-2.63832	8.22633	TMultiDotCTStep<1>
-2.63832	8.22633	TMultiDotCTStep<2>
-2.63832	8.22633	TMultiDotCTStepOutlined<2>
-2.63832	8.22633	TMultiDotCTStepOutlinedV2<2>
-2.63832	8.22633	TMultiDotCTStepV3
-2.63832	8.22633	TMultiDotCTStepV2FloatOpts_SSE42<2>
-2.63832	8.22633	TMultiDotCTStepV2FloatOpts_AVX<2>
-2.63832	8.22633	TMultiDotCTStepV2FloatOpts_AVX2<2>
-2.63832	8.22633	TMultiDotCTStepV2FloatOpts_AVX512<2>
-2.63832	8.22633	TMultiDotV3_ASM_AVX512
531.675	863.36	TPackedProductUnpack<TNaive>
531.675	863.36	TPackedProductUnpack<TVirtualJump>
531.675	863.36	TPackedProductInlined
531.675	863.36	TPackedProductInlinedAvx512Auto
531.675	863.36	TPackedProductInlinedWithMath
531.675	863.36	TPackedProductInlinedWithMathAvx512Auto
531.675	863.36	TPackedProductAvx512ASM
531.675	863.36	TPackedProductV2Avx512ASM
2021-07-25 11:23:49
Running ./for_conf_abstr_level
Run on (32 X 2095.08 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x32)
  L1 Instruction 32 KiB (x32)
  L2 Unified 4096 KiB (x32)
  L3 Unified 16384 KiB (x32)
Load Average: 0.18, 0.12, 0.10
--------------------------------------------------------------------------------------------------------
Benchmark                                                              Time             CPU   Iterations
DotPrMulti_TMultiDotFromSingle_NaiveOutlined/128                    3.55 ms         3.55 ms          197
DotPrMulti_TMultiDotFromSingle_NaiveOutlined/1024                   15.6 ms         15.6 ms           45
DotPrMulti_TMultiDotCTStep_1/64                                     2.32 ms         2.32 ms          304
DotPrMulti_TMultiDotCTStep_1/128                                    3.78 ms         3.78 ms          182
DotPrMulti_TMultiDotCTStep_1/1024                                   15.4 ms         15.4 ms           46
DotPrMulti_TMultiDotCTStepV3/64                                     1.15 ms         1.15 ms          617
DotPrMulti_TMultiDotCTStepV3/128                                    1.96 ms         1.96 ms          359
DotPrMulti_TMultiDotCTStepV3/1024                                   5.23 ms         5.23 ms          133
DotPrMulti_TMultiDotCTStepV3FloatOpts_SSE42/64                     0.781 ms        0.781 ms          859
DotPrMulti_TMultiDotCTStepV3FloatOpts_SSE42/128                     1.37 ms         1.37 ms          512
DotPrMulti_TMultiDotCTStepV3FloatOpts_SSE42/1024                    4.64 ms         4.64 ms          151
DotPrMulti_TMultiDotCTStepV3FloatOpts_AVX/64                       0.662 ms        0.662 ms         1039
DotPrMulti_TMultiDotCTStepV3FloatOpts_AVX/128                       1.15 ms         1.15 ms          614
DotPrMulti_TMultiDotCTStepV3FloatOpts_AVX/1024                      4.50 ms         4.50 ms          156
DotPrMulti_TMultiDotCTStepV3FloatOpts_AVX2/64                      0.659 ms        0.659 ms         1027
DotPrMulti_TMultiDotCTStepV3FloatOpts_AVX2/128                      1.16 ms         1.16 ms          610
DotPrMulti_TMultiDotCTStepV3FloatOpts_AVX2/1024                     4.46 ms         4.46 ms          156
DotPrMulti_TMultiDotCTStepV3FloatOpts_AVX512/64                    0.522 ms        0.522 ms         1360
DotPrMulti_TMultiDotCTStepV3FloatOpts_AVX512/128                   1.000 ms        1.000 ms          700
DotPrMulti_TMultiDotCTStepV3FloatOpts_AVX512/1024                   4.12 ms         4.12 ms          165
DotPrMulti_TMultiDotV3_ASM_PREFETCH_AVX512/64                      0.470 ms        0.470 ms         1386
